Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2020-08-12T15:00:00+02:00;626.0;3.66;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-08-12T14:00:00+02:00;583.0;3.15056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-08-12T11:00:00+02:00;558.0;3.84389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-11-01T12:00:00+01:00;333.0;2.02889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-10-01T06:00:00+02:00;146.0;0.87611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-07-01T17:00:00+02:00;875.0;43.15445;Saturé;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-11-01T18:00:00+01:00;458.0;2.49444;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-11-01T11:00:00+01:00;260.0;1.60278;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-10-01T10:00:00+02:00;756.0;17.60389;Pré-saturé;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
5671;Convention;2020-09-23T00:00:00+02:00;539.0;2.71833;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.8386343727,2.29320560272;"{""type"": ""LineString"", ""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]]}"
