;Débit horaire;Taux d'occupation;datetime;year;month;day;hour;dayofweek;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;StringencyLegacyIndexForDisplay;ContainmentHealthIndexForDisplay;nom_jour_ferie;jour_ferie;nom_vacance_scolaire;vacance_scolaire
0;746.0;10.98889;2019-11-01 03:00:00+00:00;2019;11;1;3;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
1;549.0;7.40722;2019-11-01 04:00:00+00:00;2019;11;1;4;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
2;503.0;7.66667;2019-11-01 05:00:00+00:00;2019;11;1;5;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
3;500.0;4.755;2019-11-01 06:00:00+00:00;2019;11;1;6;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
4;525.0;5.37389;2019-11-01 07:00:00+00:00;2019;11;1;7;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
5;575.0;6.54556;2019-11-01 08:00:00+00:00;2019;11;1;8;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
6;597.0;10.18833;2019-11-01 09:00:00+00:00;2019;11;1;9;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
7;785.0;15.22;2019-11-01 10:00:00+00:00;2019;11;1;10;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
8;934.0;14.832220000000001;2019-11-01 11:00:00+00:00;2019;11;1;11;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
9;884.0;16.545560000000002;2019-11-01 12:00:00+00:00;2019;11;1;12;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
10;1012.0;20.392220000000002;2019-11-01 13:00:00+00:00;2019;11;1;13;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
11;1055.0;21.26278;2019-11-01 14:00:00+00:00;2019;11;1;14;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
12;1120.0;28.22833;2019-11-01 15:00:00+00:00;2019;11;1;15;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
13;1127.0;27.87;2019-11-01 16:00:00+00:00;2019;11;1;16;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
14;1012.0;29.159440000000004;2019-11-01 17:00:00+00:00;2019;11;1;17;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
15;1039.0;27.38778;2019-11-01 18:00:00+00:00;2019;11;1;18;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
16;1016.0;22.919439999999998;2019-11-01 19:00:00+00:00;2019;11;1;19;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
17;1009.0;22.44056;2019-11-01 20:00:00+00:00;2019;11;1;20;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
18;1006.0;21.32389;2019-11-01 21:00:00+00:00;2019;11;1;21;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
19;896.0;19.433889999999998;2019-11-01 22:00:00+00:00;2019;11;1;22;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
20;1015.0;21.297220000000003;2019-11-01 23:00:00+00:00;2019;11;1;23;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;pas_vacance;0
21;931.0;16.36;2019-11-02 00:00:00+00:00;2019;11;2;0;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
22;797.0;11.14444;2019-11-02 01:00:00+00:00;2019;11;2;1;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
23;663.0;7.85389;2019-11-02 02:00:00+00:00;2019;11;2;2;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
24;466.0;5.35222;2019-11-02 03:00:00+00:00;2019;11;2;3;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
25;393.0;4.27778;2019-11-02 04:00:00+00:00;2019;11;2;4;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
26;434.0;4.77389;2019-11-02 05:00:00+00:00;2019;11;2;5;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
27;493.0;5.628340000000001;2019-11-02 06:00:00+00:00;2019;11;2;6;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
28;457.0;5.06;2019-11-02 07:00:00+00:00;2019;11;2;7;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
29;609.0;6.16667;2019-11-02 08:00:00+00:00;2019;11;2;8;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
30;730.0;12.525;2019-11-02 09:00:00+00:00;2019;11;2;9;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
31;884.0;16.27167;2019-11-02 10:00:00+00:00;2019;11;2;10;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pas_ferie;0;pas_vacance;0
