;Débit horaire;Taux d'occupation;datetime;year;month;day;hour;dayofweek;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;StringencyLegacyIndexForDisplay;ContainmentHealthIndexForDisplay;nom_jour_ferie;jour_ferie;nom_vacance_scolaire;vacance_scolaire
0;323.0;1.6772200000000002;2019-11-01 03:00:00+00:00;2019;11;1;3;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
1;272.0;1.41056;2019-11-01 04:00:00+00:00;2019;11;1;4;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
2;240.0;1.35667;2019-11-01 05:00:00+00:00;2019;11;1;5;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
3;216.0;1.14056;2019-11-01 06:00:00+00:00;2019;11;1;6;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
4;260.0;1.85722;2019-11-01 07:00:00+00:00;2019;11;1;7;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
5;355.0;2.65834;2019-11-01 08:00:00+00:00;2019;11;1;8;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
6;571.0;4.31944;2019-11-01 09:00:00+00:00;2019;11;1;9;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
7;835.0;15.26556;2019-11-01 10:00:00+00:00;2019;11;1;10;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
8;853.0;16.99667;2019-11-01 11:00:00+00:00;2019;11;1;11;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
9;886.0;30.29778;2019-11-01 12:00:00+00:00;2019;11;1;12;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
