;Débit horaire;Taux d'occupation;datetime;year;month;day;hour;dayofweek;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;StringencyLegacyIndexForDisplay;ContainmentHealthIndexForDisplay;nom_jour_ferie;jour_ferie;nom_vacance_scolaire;vacance_scolaire
0;259.0;3.00611;2019-11-01 03:00:00+00:00;2019;11;1;3;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
1;197.0;2.50778;2019-11-01 04:00:00+00:00;2019;11;1;4;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
2;163.0;2.05111;2019-11-01 05:00:00+00:00;2019;11;1;5;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
3;170.0;2.08944;2019-11-01 06:00:00+00:00;2019;11;1;6;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
4;225.0;2.915;2019-11-01 07:00:00+00:00;2019;11;1;7;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
5;213.0;2.89667;2019-11-01 08:00:00+00:00;2019;11;1;8;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
6;296.0;3.70667;2019-11-01 09:00:00+00:00;2019;11;1;9;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
7;407.0;5.056109999999999;2019-11-01 10:00:00+00:00;2019;11;1;10;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
8;463.0;7.058339999999999;2019-11-01 11:00:00+00:00;2019;11;1;11;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
9;513.0;6.842219999999999;2019-11-01 12:00:00+00:00;2019;11;1;12;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
10;457.0;5.70944;2019-11-01 13:00:00+00:00;2019;11;1;13;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
11;432.0;5.74611;2019-11-01 14:00:00+00:00;2019;11;1;14;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
12;528.0;6.38834;2019-11-01 15:00:00+00:00;2019;11;1;15;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
13;559.0;7.19445;2019-11-01 16:00:00+00:00;2019;11;1;16;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
14;592.0;7.84667;2019-11-01 17:00:00+00:00;2019;11;1;17;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
15;610.0;7.7038899999999995;2019-11-01 18:00:00+00:00;2019;11;1;18;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
16;564.0;7.99945;2019-11-01 19:00:00+00:00;2019;11;1;19;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
17;571.0;6.71;2019-11-01 20:00:00+00:00;2019;11;1;20;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
18;434.0;5.43389;2019-11-01 21:00:00+00:00;2019;11;1;21;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
19;425.0;5.151669999999999;2019-11-01 22:00:00+00:00;2019;11;1;22;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
20;431.0;5.46333;2019-11-01 23:00:00+00:00;2019;11;1;23;4;2019-11-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Toussaint;1;ascension;1
21;347.0;4.24111;2019-11-02 00:00:00+00:00;2019;11;2;0;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
22;309.0;3.67389;2019-11-02 01:00:00+00:00;2019;11;2;1;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
23;205.0;2.43444;2019-11-02 02:00:00+00:00;2019;11;2;2;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
24;137.0;1.7261099999999998;2019-11-02 03:00:00+00:00;2019;11;2;3;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
25;103.0;1.46;2019-11-02 04:00:00+00:00;2019;11;2;4;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
26;110.0;1.3322200000000002;2019-11-02 05:00:00+00:00;2019;11;2;5;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
27;118.0;1.49222;2019-11-02 06:00:00+00:00;2019;11;2;6;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
28;157.0;2.09389;2019-11-02 07:00:00+00:00;2019;11;2;7;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
29;297.0;3.7616699999999996;2019-11-02 08:00:00+00:00;2019;11;2;8;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
30;355.0;4.35834;2019-11-02 09:00:00+00:00;2019;11;2;9;5;2019-11-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;ascension;1
