,Date et heure de comptage,Identifiant arc,jour_ferie,nom_jour_ferie,vacance_scolaire,nom_vacance_scolaire,dayofweek,month,year
0,2020-11-02 05:00:00+01:00,4264,0,,0,,Monday,11,2020
1,2020-11-01 23:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
2,2020-07-01 16:00:00+02:00,4264,0,,0,,Wednesday,7,2020
3,2020-07-01 22:00:00+02:00,4264,0,,0,,Wednesday,7,2020
4,2020-08-05 03:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
5,2020-08-05 11:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
6,2020-08-05 07:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
7,2020-08-05 09:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
8,2020-07-01 18:00:00+02:00,4264,0,,0,,Wednesday,7,2020
9,2020-11-01 12:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
10,2020-07-01 20:00:00+02:00,4264,0,,0,,Wednesday,7,2020
11,2020-10-01 19:00:00+02:00,4264,0,,0,,Thursday,10,2020
12,2020-05-01 02:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
13,2020-10-01 23:00:00+02:00,4264,0,,0,,Thursday,10,2020
14,2020-10-01 20:00:00+02:00,4264,0,,0,,Thursday,10,2020
15,2020-05-01 04:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
16,2020-05-01 03:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
17,2020-05-01 01:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
18,2020-11-01 14:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
19,2020-07-01 06:00:00+02:00,4264,0,,0,,Wednesday,7,2020
20,2020-07-01 15:00:00+02:00,4264,0,,0,,Wednesday,7,2020
21,2020-09-21 14:00:00+02:00,4264,0,,0,,Monday,9,2020
22,2020-09-21 18:00:00+02:00,4264,0,,0,,Monday,9,2020
23,2020-07-01 07:00:00+02:00,4264,0,,0,,Wednesday,7,2020
24,2020-11-02 02:00:00+01:00,4264,0,,0,,Monday,11,2020
25,2020-10-01 12:00:00+02:00,4264,0,,0,,Thursday,10,2020
26,2020-11-02 08:00:00+01:00,4264,0,,0,,Monday,11,2020
27,2020-08-05 18:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
28,2020-08-05 16:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
29,2020-08-05 21:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
30,2020-08-05 17:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
31,2020-08-05 14:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
32,2020-11-01 20:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
33,2020-10-01 15:00:00+02:00,4264,0,,0,,Thursday,10,2020
34,2020-11-02 07:00:00+01:00,4264,0,,0,,Monday,11,2020
35,2020-07-01 12:00:00+02:00,4264,0,,0,,Wednesday,7,2020
36,2020-11-02 10:00:00+01:00,4264,0,,0,,Monday,11,2020
37,2020-10-01 07:00:00+02:00,4264,0,,0,,Thursday,10,2020
38,2020-07-01 05:00:00+02:00,4264,0,,0,,Wednesday,7,2020
39,2020-11-02 01:00:00+01:00,4264,0,,0,,Monday,11,2020
40,2020-10-01 08:00:00+02:00,4264,0,,0,,Thursday,10,2020
41,2020-10-01 06:00:00+02:00,4264,0,,0,,Thursday,10,2020
42,2020-10-01 14:00:00+02:00,4264,0,,0,,Thursday,10,2020
43,2020-11-02 04:00:00+01:00,4264,0,,0,,Monday,11,2020
44,2020-09-23 00:00:00+02:00,4264,0,,0,,Wednesday,9,2020
45,2020-09-22 22:00:00+02:00,4264,0,,0,,Tuesday,9,2020
46,2020-09-22 20:00:00+02:00,4264,0,,0,,Tuesday,9,2020
47,2020-09-22 18:00:00+02:00,4264,0,,0,,Tuesday,9,2020
48,2020-09-02 18:00:00+02:00,4264,0,,0,,Wednesday,9,2020
49,2020-09-02 23:00:00+02:00,4264,0,,0,,Wednesday,9,2020
50,2020-09-02 14:00:00+02:00,4264,0,,0,,Wednesday,9,2020
51,2020-09-02 16:00:00+02:00,4264,0,,0,,Wednesday,9,2020
52,2020-09-02 22:00:00+02:00,4264,0,,0,,Wednesday,9,2020
53,2020-09-02 12:00:00+02:00,4264,0,,0,,Wednesday,9,2020
54,2020-09-02 11:00:00+02:00,4264,0,,0,,Wednesday,9,2020
55,2020-09-03 00:00:00+02:00,4264,0,,0,,Thursday,9,2020
56,2020-09-02 15:00:00+02:00,4264,0,,0,,Wednesday,9,2020
57,2020-09-02 03:00:00+02:00,4264,0,,0,,Wednesday,9,2020
58,2020-09-02 02:00:00+02:00,4264,0,,0,,Wednesday,9,2020
59,2020-09-02 07:00:00+02:00,4264,0,,0,,Wednesday,9,2020
60,2020-09-02 06:00:00+02:00,4264,0,,0,,Wednesday,9,2020
61,2020-09-02 10:00:00+02:00,4264,0,,0,,Wednesday,9,2020
62,2020-11-02 03:00:00+01:00,4264,0,,0,,Monday,11,2020
63,2020-11-02 09:00:00+01:00,4264,0,,0,,Monday,11,2020
64,2020-11-02 11:00:00+01:00,4264,0,,0,,Monday,11,2020
65,2020-10-01 11:00:00+02:00,4264,0,,0,,Thursday,10,2020
66,2020-07-01 10:00:00+02:00,4264,0,,0,,Wednesday,7,2020
67,2020-07-01 19:00:00+02:00,4264,0,,0,,Wednesday,7,2020
68,2020-10-01 16:00:00+02:00,4264,0,,0,,Thursday,10,2020
69,2020-11-02 06:00:00+01:00,4264,0,,0,,Monday,11,2020
70,2020-10-01 09:00:00+02:00,4264,0,,0,,Thursday,10,2020
71,2020-07-01 14:00:00+02:00,4264,0,,0,,Wednesday,7,2020
72,2020-07-01 11:00:00+02:00,4264,0,,0,,Wednesday,7,2020
73,2020-08-16 02:00:00+02:00,4264,0,,1,été,Sunday,8,2020
74,2020-08-16 04:00:00+02:00,4264,0,,1,été,Sunday,8,2020
75,2020-08-16 05:00:00+02:00,4264,0,,1,été,Sunday,8,2020
76,2020-08-16 06:00:00+02:00,4264,0,,1,été,Sunday,8,2020
77,2020-08-16 09:00:00+02:00,4264,0,,1,été,Sunday,8,2020
78,2020-08-16 11:00:00+02:00,4264,0,,1,été,Sunday,8,2020
79,2020-08-16 14:00:00+02:00,4264,0,,1,été,Sunday,8,2020
80,2020-08-16 16:00:00+02:00,4264,0,,1,été,Sunday,8,2020
81,2020-08-16 17:00:00+02:00,4264,0,,1,été,Sunday,8,2020
82,2020-08-16 20:00:00+02:00,4264,0,,1,été,Sunday,8,2020
83,2020-08-16 21:00:00+02:00,4264,0,,1,été,Sunday,8,2020
84,2020-08-16 22:00:00+02:00,4264,0,,1,été,Sunday,8,2020
85,2020-08-16 23:00:00+02:00,4264,0,,1,été,Sunday,8,2020
86,2020-08-17 00:00:00+02:00,4264,0,,1,été,Monday,8,2020
87,2020-10-01 05:00:00+02:00,4264,0,,0,,Thursday,10,2020
88,2020-07-01 17:00:00+02:00,4264,0,,0,,Wednesday,7,2020
89,2020-11-01 17:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
90,2020-10-01 13:00:00+02:00,4264,0,,0,,Thursday,10,2020
91,2020-10-02 00:00:00+02:00,4264,0,,0,,Friday,10,2020
92,2020-07-02 00:00:00+02:00,4264,0,,0,,Thursday,7,2020
93,2020-09-22 09:00:00+02:00,4264,0,,0,,Tuesday,9,2020
94,2020-09-22 06:00:00+02:00,4264,0,,0,,Tuesday,9,2020
95,2020-11-02 18:00:00+01:00,4264,0,,0,,Monday,11,2020
96,2020-10-01 22:00:00+02:00,4264,0,,0,,Thursday,10,2020
97,2020-07-01 23:00:00+02:00,4264,0,,0,,Wednesday,7,2020
98,2020-10-01 17:00:00+02:00,4264,0,,0,,Thursday,10,2020
99,2020-09-23 01:00:00+02:00,4264,0,,0,,Wednesday,9,2020
100,2020-09-23 02:00:00+02:00,4264,0,,0,,Wednesday,9,2020
101,2020-09-23 03:00:00+02:00,4264,0,,0,,Wednesday,9,2020
102,2020-09-23 04:00:00+02:00,4264,0,,0,,Wednesday,9,2020
103,2020-09-23 07:00:00+02:00,4264,0,,0,,Wednesday,9,2020
104,2020-09-23 10:00:00+02:00,4264,0,,0,,Wednesday,9,2020
105,2020-09-23 11:00:00+02:00,4264,0,,0,,Wednesday,9,2020
106,2020-09-23 12:00:00+02:00,4264,0,,0,,Wednesday,9,2020
107,2020-09-23 14:00:00+02:00,4264,0,,0,,Wednesday,9,2020
108,2020-09-23 15:00:00+02:00,4264,0,,0,,Wednesday,9,2020
109,2020-09-23 16:00:00+02:00,4264,0,,0,,Wednesday,9,2020
110,2020-09-23 19:00:00+02:00,4264,0,,0,,Wednesday,9,2020
111,2020-09-23 20:00:00+02:00,4264,0,,0,,Wednesday,9,2020
112,2020-09-23 22:00:00+02:00,4264,0,,0,,Wednesday,9,2020
113,2020-09-23 23:00:00+02:00,4264,0,,0,,Wednesday,9,2020
114,2020-09-24 00:00:00+02:00,4264,0,,0,,Thursday,9,2020
115,2020-11-01 11:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
116,2020-07-01 13:00:00+02:00,4264,0,,0,,Wednesday,7,2020
117,2020-07-01 08:00:00+02:00,4264,0,,0,,Wednesday,7,2020
118,2020-07-01 09:00:00+02:00,4264,0,,0,,Wednesday,7,2020
119,2020-11-01 05:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
120,2020-10-01 10:00:00+02:00,4264,0,,0,,Thursday,10,2020
121,2020-11-01 09:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
122,2020-05-15 03:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
123,2020-05-15 04:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
124,2020-05-15 05:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
125,2020-05-15 06:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
126,2020-05-15 08:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
127,2020-05-15 10:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
128,2020-05-15 13:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
129,2020-05-15 14:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
130,2020-05-15 15:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
131,2020-05-15 16:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
132,2020-11-01 19:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
133,2020-05-15 18:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
134,2020-05-15 19:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
135,2020-05-15 23:00:00+02:00,4264,0,,1,ascension,Friday,5,2020
136,2020-05-16 00:00:00+02:00,4264,0,,1,ascension,Saturday,5,2020
137,2020-06-05 19:00:00+02:00,4264,0,,0,,Friday,6,2020
138,2020-06-05 22:00:00+02:00,4264,0,,0,,Friday,6,2020
139,2020-06-05 16:00:00+02:00,4264,0,,0,,Friday,6,2020
140,2020-06-05 20:00:00+02:00,4264,0,,0,,Friday,6,2020
141,2020-06-05 15:00:00+02:00,4264,0,,0,,Friday,6,2020
142,2020-06-05 07:00:00+02:00,4264,0,,0,,Friday,6,2020
143,2020-06-05 05:00:00+02:00,4264,0,,0,,Friday,6,2020
144,2020-06-05 03:00:00+02:00,4264,0,,0,,Friday,6,2020
145,2020-06-05 11:00:00+02:00,4264,0,,0,,Friday,6,2020
146,2020-11-01 18:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
147,2020-05-24 02:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
148,2020-05-24 03:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
149,2020-05-24 05:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
150,2020-05-24 07:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
151,2020-05-24 08:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
152,2020-05-24 09:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
153,2020-05-24 10:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
154,2020-05-24 11:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
155,2020-05-24 12:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
156,2020-05-24 13:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
157,2020-05-24 14:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
158,2020-05-24 15:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
159,2020-05-24 19:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
160,2020-05-24 20:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
161,2020-05-24 22:00:00+02:00,4264,0,,1,ascension,Sunday,5,2020
162,2020-05-25 00:00:00+02:00,4264,0,,0,,Monday,5,2020
163,2020-07-06 00:00:00+02:00,4264,0,,1,été,Monday,7,2020
164,2020-11-01 13:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
165,2020-10-07 00:00:00+02:00,4264,0,,0,,Wednesday,10,2020
166,2020-10-06 22:00:00+02:00,4264,0,,0,,Tuesday,10,2020
167,2020-10-06 20:00:00+02:00,4264,0,,0,,Tuesday,10,2020
168,2020-09-09 23:00:00+02:00,4264,0,,0,,Wednesday,9,2020
169,2020-09-09 22:00:00+02:00,4264,0,,0,,Wednesday,9,2020
170,2020-09-09 19:00:00+02:00,4264,0,,0,,Wednesday,9,2020
171,2020-09-09 16:00:00+02:00,4264,0,,0,,Wednesday,9,2020
172,2020-09-09 09:00:00+02:00,4264,0,,0,,Wednesday,9,2020
173,2020-09-09 07:00:00+02:00,4264,0,,0,,Wednesday,9,2020
174,2020-09-09 02:00:00+02:00,4264,0,,0,,Wednesday,9,2020
175,2020-09-09 01:00:00+02:00,4264,0,,0,,Wednesday,9,2020
176,2020-11-01 15:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
177,2020-11-01 07:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
178,2020-11-01 16:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
179,2020-11-02 00:00:00+01:00,4264,0,,0,,Monday,11,2020
180,2020-11-01 08:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
181,2020-11-01 04:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
182,2020-07-15 09:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
183,2020-07-15 04:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
184,2020-07-15 01:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
185,2020-11-01 21:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
186,2020-09-25 15:00:00+02:00,4264,0,,0,,Friday,9,2020
187,2020-11-01 10:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
188,2020-11-01 06:00:00+01:00,4264,0,,1,toussaint,Sunday,11,2020
189,2020-06-09 08:00:00+02:00,4264,0,,0,,Tuesday,6,2020
190,2020-06-09 07:00:00+02:00,4264,0,,0,,Tuesday,6,2020
191,2020-06-09 04:00:00+02:00,4264,0,,0,,Tuesday,6,2020
192,2020-06-09 01:00:00+02:00,4264,0,,0,,Tuesday,6,2020
193,2020-09-09 00:00:00+02:00,4264,0,,0,,Wednesday,9,2020
194,2020-09-08 22:00:00+02:00,4264,0,,0,,Tuesday,9,2020
195,2020-09-08 19:00:00+02:00,4264,0,,0,,Tuesday,9,2020
196,2020-09-08 17:00:00+02:00,4264,0,,0,,Tuesday,9,2020
197,2020-08-12 09:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
198,2020-08-12 08:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
199,2020-08-12 07:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
200,2020-08-12 05:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
201,2020-08-12 04:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
202,2020-08-12 01:00:00+02:00,4264,0,,1,été,Wednesday,8,2020
203,2020-07-15 08:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
204,2020-07-15 07:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
205,2020-07-15 06:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
206,2020-07-15 05:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
207,2020-07-15 03:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
208,2020-07-15 02:00:00+02:00,4264,0,,1,été,Wednesday,7,2020
209,2020-11-11 14:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
210,2020-11-11 15:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
211,2020-11-11 16:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
212,2020-11-11 17:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
213,2020-11-11 23:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
214,2020-10-12 00:00:00+02:00,4264,0,,0,,Monday,10,2020
215,2020-10-11 22:00:00+02:00,4264,0,,0,,Sunday,10,2020
216,2020-10-11 20:00:00+02:00,4264,0,,0,,Sunday,10,2020
217,2020-10-11 19:00:00+02:00,4264,0,,0,,Sunday,10,2020
218,2020-10-11 17:00:00+02:00,4264,0,,0,,Sunday,10,2020
219,2020-10-11 16:00:00+02:00,4264,0,,0,,Sunday,10,2020
220,2020-10-11 11:00:00+02:00,4264,0,,0,,Sunday,10,2020
221,2020-10-11 10:00:00+02:00,4264,0,,0,,Sunday,10,2020
222,2020-10-11 09:00:00+02:00,4264,0,,0,,Sunday,10,2020
223,2020-10-11 08:00:00+02:00,4264,0,,0,,Sunday,10,2020
224,2020-10-11 07:00:00+02:00,4264,0,,0,,Sunday,10,2020
225,2020-10-11 05:00:00+02:00,4264,0,,0,,Sunday,10,2020
226,2020-10-11 02:00:00+02:00,4264,0,,0,,Sunday,10,2020
227,2020-10-14 00:00:00+02:00,4264,0,,0,,Wednesday,10,2020
228,2020-10-13 22:00:00+02:00,4264,0,,0,,Tuesday,10,2020
229,2020-10-13 21:00:00+02:00,4264,0,,0,,Tuesday,10,2020
230,2020-10-13 19:00:00+02:00,4264,0,,0,,Tuesday,10,2020
231,2020-10-13 17:00:00+02:00,4264,0,,0,,Tuesday,10,2020
232,2020-10-13 16:00:00+02:00,4264,0,,0,,Tuesday,10,2020
233,2020-10-13 14:00:00+02:00,4264,0,,0,,Tuesday,10,2020
234,2020-10-13 13:00:00+02:00,4264,0,,0,,Tuesday,10,2020
235,2020-10-13 09:00:00+02:00,4264,0,,0,,Tuesday,10,2020
236,2020-10-13 05:00:00+02:00,4264,0,,0,,Tuesday,10,2020
237,2020-10-13 04:00:00+02:00,4264,0,,0,,Tuesday,10,2020
238,2020-10-13 03:00:00+02:00,4264,0,,0,,Tuesday,10,2020
239,2020-10-13 02:00:00+02:00,4264,0,,0,,Tuesday,10,2020
240,2020-10-13 01:00:00+02:00,4264,0,,0,,Tuesday,10,2020
241,2020-11-11 18:00:00+01:00,4264,1,11 novembre,0,,Wednesday,11,2020
