,PA01H:CO,AUB:CO,PA04C:CO,A1:CO,BASCH:CO,AUT:CO,OBJECTID
,PARIS 1er Les Halles,AUBERVILLIERS,Paris Centre,Autoroute A1 - Saint-Denis,Place Victor Basch,Boulevard Péripherique Auteuil,0
,PA01H,AUB,PA04C,A1,BASCH,AUT,1
,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,2
,CO,CO,CO,CO,CO,CO,3
,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,4
2019/01/01 01:00:00+00,,0.190000,0.217000,0.414000,,0.493000,5
2019/01/01 02:00:00+00,,0.148000,0.181000,0.402000,,0.370000,6
2019/01/01 03:00:00+00,,0.139000,0.163000,0.495000,,0.386000,7
2019/01/01 04:00:00+00,,0.136000,0.153000,0.670000,,0.360000,8
2019/01/01 05:00:00+00,,0.124000,0.149000,0.514000,,0.273000,9
2019/01/01 06:00:00+00,,0.124000,0.178000,0.497000,,0.305000,10
2019/01/01 07:00:00+00,,0.139000,0.135000,0.383000,,0.301000,11
2019/01/01 08:00:00+00,,0.131000,0.135000,0.377000,,0.219000,12
2019/01/01 09:00:00+00,,0.138000,0.126000,0.237000,,0.163000,13
2019/01/01 10:00:00+00,,0.109000,0.139000,0.270000,,0.191000,14
2019/01/01 11:00:00+00,,0.096000,0.131000,0.390000,,0.230000,15
2019/01/01 12:00:00+00,,0.105000,0.133000,0.282000,,0.237000,16
2019/01/01 13:00:00+00,,0.103000,0.144000,0.322000,,0.237000,17
2019/01/01 14:00:00+00,,0.110000,0.143000,0.358000,,0.333000,18
2019/01/01 15:00:00+00,,0.120000,0.159000,0.336000,,0.300000,19
2019/01/01 16:00:00+00,,0.125000,0.168000,0.369000,,0.350000,20
2019/01/01 17:00:00+00,,0.142000,0.161000,0.388000,,0.387000,21
2019/01/01 18:00:00+00,,0.181000,0.176000,0.494000,,0.415000,22
2019/01/01 19:00:00+00,,0.212000,0.189000,0.488000,,0.427000,23
2019/01/01 20:00:00+00,,0.182000,0.234000,0.486000,,0.448000,24
2019/01/01 21:00:00+00,,0.181000,0.253000,0.399000,,0.411000,25
2019/01/01 22:00:00+00,,0.171000,0.260000,0.350000,,0.350000,26
2019/01/01 23:00:00+00,,0.144000,0.176000,0.238000,,0.319000,27
2019/01/02 00:00:00+00,,0.109000,0.117000,0.184000,,0.192000,28
2019/01/02 01:00:00+00,,0.137000,0.114000,0.162000,,0.115000,29
2019/01/02 02:00:00+00,,0.146000,0.123000,0.161000,,0.122000,30
2019/01/02 03:00:00+00,,0.159000,0.127000,0.167000,,0.117000,31
2019/01/02 04:00:00+00,,0.153000,0.137000,0.206000,,0.147000,32
2019/01/02 05:00:00+00,,0.169000,0.132000,0.218000,,0.173000,33
2019/01/02 06:00:00+00,,0.156000,0.139000,0.284000,,0.219000,34
2019/01/02 07:00:00+00,,0.157000,0.142000,0.274000,,0.279000,35
2019/01/02 08:00:00+00,,0.157000,0.168000,0.376000,,0.488000,36
2019/01/02 09:00:00+00,,0.178000,0.197000,0.381000,,0.574000,37
2019/01/02 10:00:00+00,,0.168000,0.196000,0.274000,,0.330000,38
2019/01/02 11:00:00+00,,0.172000,0.170000,0.289000,,0.321000,39
2019/01/02 12:00:00+00,,0.158000,0.163000,0.277000,,0.341000,40
2019/01/02 13:00:00+00,,0.153000,0.173000,0.309000,,0.356000,41
2019/01/02 14:00:00+00,,0.146000,0.150000,0.292000,,0.304000,42
2019/01/02 15:00:00+00,,0.147000,0.154000,0.232000,,0.326000,43
2019/01/02 16:00:00+00,,0.169000,0.144000,0.272000,,0.390000,44
2019/01/02 17:00:00+00,,0.181000,0.167000,0.399000,,0.468000,45
2019/01/02 18:00:00+00,,0.194000,0.197000,0.427000,,0.481000,46
2019/01/02 19:00:00+00,,0.227000,0.219000,0.385000,,0.400000,47
2019/01/02 20:00:00+00,,0.196000,0.223000,0.342000,,0.402000,48
2019/01/02 21:00:00+00,,0.199000,0.222000,0.314000,,0.322000,49
2019/01/02 22:00:00+00,,0.207000,0.210000,0.279000,,0.307000,50
2019/01/02 23:00:00+00,,0.188000,0.195000,0.262000,,0.304000,51
2019/01/03 00:00:00+00,,0.198000,0.188000,0.229000,,0.274000,52
2019/01/03 01:00:00+00,,0.175000,0.197000,0.207000,,0.254000,53
2019/01/03 02:00:00+00,,0.164000,0.168000,0.184000,,0.210000,54
2019/01/03 03:00:00+00,,0.163000,0.172000,0.189000,,0.211000,55
2019/01/03 04:00:00+00,,0.173000,0.184000,0.229000,,0.220000,56
2019/01/03 05:00:00+00,,0.181000,0.183000,0.255000,,0.248000,57
2019/01/03 06:00:00+00,,0.185000,0.183000,0.313000,,0.316000,58
2019/01/03 07:00:00+00,,0.199000,0.203000,0.377000,,0.511000,59
2019/01/03 08:00:00+00,,0.208000,0.233000,0.457000,,1.056000,60
2019/01/03 09:00:00+00,,0.200000,,0.494000,,0.807000,61
2019/01/03 10:00:00+00,,0.186000,,0.387000,,0.545000,62
2019/01/03 11:00:00+00,,0.180000,,0.361000,,0.451000,63
2019/01/03 12:00:00+00,,0.179000,,0.359000,,0.448000,64
2019/01/03 13:00:00+00,,0.170000,,0.342000,,0.465000,65
2019/01/03 14:00:00+00,,0.153000,,0.320000,,0.432000,66
2019/01/03 15:00:00+00,,0.172000,,0.318000,,0.458000,67
2019/01/03 16:00:00+00,,0.163000,,0.365000,,0.504000,68
2019/01/03 17:00:00+00,,0.166000,,0.437000,,0.512000,69
2019/01/03 18:00:00+00,,0.175000,,0.478000,,0.607000,70
2019/01/03 19:00:00+00,,0.185000,,0.396000,,0.578000,71
2019/01/03 20:00:00+00,,0.200000,,0.369000,,0.485000,72
2019/01/03 21:00:00+00,,0.186000,,0.336000,,0.453000,73
2019/01/03 22:00:00+00,,0.205000,,0.318000,,0.393000,74
2019/01/03 23:00:00+00,,0.201000,,0.370000,,0.401000,75
2019/01/04 00:00:00+00,,0.201000,,0.280000,,0.372000,76
2019/01/04 01:00:00+00,,0.210000,0.245000,0.217000,,0.245000,77
2019/01/04 02:00:00+00,,0.204000,0.234000,0.198000,,0.218000,78
2019/01/04 03:00:00+00,,0.190000,0.222000,0.189000,,0.197000,79
2019/01/04 04:00:00+00,,0.198000,0.217000,0.201000,,0.234000,80
2019/01/04 05:00:00+00,,0.203000,0.211000,0.277000,,0.340000,81
2019/01/04 06:00:00+00,,0.208000,0.205000,0.313000,,0.443000,82
2019/01/04 07:00:00+00,,0.219000,0.227000,0.333000,,0.578000,83
2019/01/04 08:00:00+00,,0.225000,0.263000,0.466000,,1.011000,84
2019/01/04 09:00:00+00,,0.253000,0.285000,0.493000,,0.805000,85
2019/01/04 10:00:00+00,,0.245000,0.230000,0.436000,,0.473000,86
2019/01/04 11:00:00+00,,0.246000,0.234000,0.405000,,0.463000,87
2019/01/04 12:00:00+00,,0.233000,0.218000,0.394000,,0.491000,88
2019/01/04 13:00:00+00,,0.211000,0.182000,0.354000,,0.448000,89
2019/01/04 14:00:00+00,,0.202000,0.192000,0.322000,,0.428000,90
2019/01/04 15:00:00+00,,0.188000,0.121000,0.318000,,0.375000,91
2019/01/04 16:00:00+00,,0.185000,0.132000,0.334000,,0.527000,92
2019/01/04 17:00:00+00,,0.196000,0.167000,0.434000,,0.785000,93
2019/01/04 18:00:00+00,,0.210000,0.198000,0.445000,,0.742000,94
2019/01/04 19:00:00+00,,0.208000,0.169000,0.368000,,0.545000,95
2019/01/04 20:00:00+00,,0.207000,0.178000,0.364000,,0.531000,96
2019/01/04 21:00:00+00,,0.210000,0.179000,0.293000,,0.468000,97
2019/01/04 22:00:00+00,,0.195000,0.167000,0.278000,,0.383000,98
2019/01/04 23:00:00+00,,0.196000,0.172000,0.270000,,0.334000,99
2019/01/05 00:00:00+00,,0.187000,0.154000,0.218000,,0.297000,100
2019/01/05 01:00:00+00,,0.158000,0.179000,0.205000,,0.257000,101
2019/01/05 02:00:00+00,,0.153000,0.167000,0.199000,,0.272000,102
2019/01/05 03:00:00+00,,0.138000,0.156000,0.160000,,0.210000,103
2019/01/05 04:00:00+00,,0.132000,0.148000,0.150000,,0.206000,104
2019/01/05 05:00:00+00,,0.134000,0.145000,0.181000,,0.250000,105
2019/01/05 06:00:00+00,,0.136000,0.150000,0.174000,,0.242000,106
2019/01/05 07:00:00+00,,0.142000,0.173000,0.224000,,0.246000,107
2019/01/05 08:00:00+00,,0.149000,0.195000,0.199000,,0.320000,108
2019/01/05 09:00:00+00,,0.157000,0.186000,0.262000,,0.392000,109
2019/01/05 10:00:00+00,,0.175000,0.211000,0.377000,,0.423000,110
2019/01/05 11:00:00+00,,0.194000,0.231000,0.411000,,0.460000,111
2019/01/05 12:00:00+00,,0.201000,0.244000,0.421000,,0.435000,112
2019/01/05 13:00:00+00,,0.199000,0.249000,0.345000,,0.428000,113
2019/01/05 14:00:00+00,,0.193000,0.242000,0.362000,,0.458000,114
2019/01/05 15:00:00+00,,0.191000,0.213000,0.367000,,0.555000,115
2019/01/05 16:00:00+00,,0.202000,0.217000,0.371000,,0.590000,116
2019/01/05 17:00:00+00,,0.202000,0.210000,0.370000,,0.604000,117
2019/01/05 18:00:00+00,,0.187000,0.244000,0.323000,,0.599000,118
2019/01/05 19:00:00+00,,0.185000,0.230000,0.320000,,0.461000,119
2019/01/05 20:00:00+00,,0.175000,0.224000,0.317000,,0.418000,120
2019/01/05 21:00:00+00,,0.179000,0.245000,0.296000,,0.324000,121
2019/01/05 22:00:00+00,,0.195000,0.214000,0.314000,,0.384000,122
2019/01/05 23:00:00+00,,0.179000,0.218000,0.272000,,0.444000,123
2019/01/06 00:00:00+00,,0.190000,0.221000,0.268000,,0.431000,124
2019/01/06 01:00:00+00,,0.209000,0.264000,0.317000,,0.380000,125
2019/01/06 02:00:00+00,,0.181000,0.256000,0.304000,,0.375000,126
2019/01/06 03:00:00+00,,0.178000,0.247000,0.253000,,0.224000,127
2019/01/06 04:00:00+00,,0.144000,0.209000,0.234000,,0.230000,128
2019/01/06 05:00:00+00,,0.143000,0.190000,0.229000,,0.227000,129
2019/01/06 06:00:00+00,,0.148000,0.207000,0.286000,,0.318000,130
2019/01/06 07:00:00+00,,0.162000,0.229000,0.377000,,0.303000,131
2019/01/06 08:00:00+00,,0.176000,0.276000,0.402000,,0.321000,132
2019/01/06 09:00:00+00,,0.188000,0.273000,0.500000,,0.399000,133
2019/01/06 10:00:00+00,,0.204000,0.275000,0.616000,,0.440000,134
2019/01/06 11:00:00+00,,0.227000,0.355000,0.571000,,0.509000,135
2019/01/06 12:00:00+00,,0.255000,0.284000,0.571000,,0.593000,136
2019/01/06 13:00:00+00,,0.261000,0.333000,0.604000,,0.536000,137
2019/01/06 14:00:00+00,,0.268000,0.286000,0.641000,,0.562000,138
2019/01/06 15:00:00+00,,0.273000,0.312000,0.624000,,0.634000,139
2019/01/06 16:00:00+00,,0.253000,0.370000,0.750000,,0.721000,140
2019/01/06 17:00:00+00,,0.289000,0.397000,0.797000,,0.715000,141
2019/01/06 18:00:00+00,,0.340000,0.441000,0.800000,,0.746000,142
2019/01/06 19:00:00+00,,0.325000,0.405000,0.764000,,0.820000,143
2019/01/06 20:00:00+00,,0.317000,0.416000,0.879000,,0.644000,144
2019/01/06 21:00:00+00,,0.340000,0.453000,0.881000,,0.634000,145
2019/01/06 22:00:00+00,,0.330000,0.457000,0.728000,,0.611000,146
2019/01/06 23:00:00+00,,0.342000,0.414000,0.522000,,0.521000,147
2019/01/07 00:00:00+00,,0.338000,0.378000,0.472000,,0.483000,148
2019/01/07 01:00:00+00,,0.274000,0.303000,0.341000,,0.452000,149
2019/01/07 02:00:00+00,,0.241000,0.291000,0.297000,,0.386000,150
2019/01/07 03:00:00+00,,0.225000,0.275000,0.253000,,0.314000,151
2019/01/07 04:00:00+00,,0.221000,0.266000,0.262000,,0.382000,152
2019/01/07 05:00:00+00,,0.216000,0.248000,0.279000,,0.368000,153
2019/01/07 06:00:00+00,,0.236000,0.268000,0.418000,,0.494000,154
2019/01/07 07:00:00+00,,0.255000,0.279000,0.563000,,0.811000,155
2019/01/07 08:00:00+00,,0.300000,0.359000,0.864000,,1.276000,156
2019/01/07 09:00:00+00,,0.362000,0.416000,1.109000,,1.393000,157
2019/01/07 10:00:00+00,,0.362000,0.340000,0.673000,,0.721000,158
2019/01/07 11:00:00+00,,0.310000,,0.710000,,0.595000,159
2019/01/07 12:00:00+00,,0.281000,,0.795000,,0.583000,160
2019/01/07 13:00:00+00,,0.270000,0.358000,0.738000,,0.642000,161
2019/01/07 14:00:00+00,,0.223000,0.308000,0.679000,,0.556000,162
2019/01/07 15:00:00+00,,0.261000,0.334000,0.681000,,0.635000,163
2019/01/07 16:00:00+00,,0.259000,0.346000,0.743000,,0.687000,164
2019/01/07 17:00:00+00,,0.323000,0.356000,0.808000,,0.828000,165
2019/01/07 18:00:00+00,,0.306000,0.404000,0.876000,,1.029000,166
2019/01/07 19:00:00+00,,0.326000,0.393000,0.739000,,0.908000,167
2019/01/07 20:00:00+00,,0.295000,0.370000,0.611000,,0.683000,168
2019/01/07 21:00:00+00,,0.246000,0.326000,0.479000,,0.481000,169
2019/01/07 22:00:00+00,,0.215000,0.318000,0.403000,,0.440000,170
2019/01/07 23:00:00+00,,0.198000,0.291000,0.333000,,0.357000,171
2019/01/08 00:00:00+00,,0.192000,0.266000,0.340000,,0.308000,172
2019/01/08 01:00:00+00,,0.155000,0.201000,0.212000,,0.218000,173
2019/01/08 02:00:00+00,,0.147000,0.186000,0.222000,,0.225000,174
2019/01/08 03:00:00+00,,0.142000,0.178000,0.225000,,0.210000,175
2019/01/08 04:00:00+00,,0.146000,0.171000,0.269000,,0.201000,176
2019/01/08 05:00:00+00,,0.153000,0.177000,0.400000,,0.249000,177
2019/01/08 06:00:00+00,,0.176000,0.198000,0.354000,,0.339000,178
2019/01/08 07:00:00+00,,0.164000,0.240000,0.464000,,0.509000,179
2019/01/08 08:00:00+00,,0.195000,0.231000,0.456000,,0.813000,180
2019/01/08 09:00:00+00,,0.170000,0.258000,0.418000,,0.856000,181
2019/01/08 10:00:00+00,,0.168000,0.208000,0.433000,,0.495000,182
2019/01/08 11:00:00+00,,0.160000,0.204000,0.381000,,0.468000,183
2019/01/08 12:00:00+00,,0.153000,0.199000,0.378000,,0.472000,184
2019/01/08 13:00:00+00,,0.140000,0.190000,0.340000,,0.422000,185
2019/01/08 14:00:00+00,,0.133000,0.179000,0.311000,,0.479000,186
2019/01/08 15:00:00+00,,0.141000,0.183000,0.264000,,0.489000,187
