,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/01/01 01:00:00+00,,22.500000,6.900000,103.600000,79.700000,7.500000,2.100000,0.700000,218.700000,131.200000,,0.500000,83.400000,48.900000,0.800000,1.300000,0.700000,17.200000,1.300000,1.200000,0.700000,1.300000,4.900000,,1.600000,8,8.500000,5.600000,0,5,0.200000,2.100000,1,2.600000,24.600000,0.300000,0.400000,1.300000,14.900000,0,5
2019/01/01 02:00:00+00,,13.500000,8.300000,54,63.200000,5.300000,2.100000,0.300000,170.800000,111.500000,,0.400000,60.700000,61.100000,1,0.500000,0.600000,65.100000,0.800000,0.500000,0.500000,1.100000,5.600000,,1.700000,6.300000,5.500000,5.100000,0,5.400000,0.500000,2.500000,0.900000,2.300000,21.700000,0,0.600000,1.400000,17,0.200000,6
2019/01/01 03:00:00+00,,14.900000,8.100000,43.600000,73.800000,7.200000,1.900000,0.100000,183.500000,214.300000,,0.600000,103.200000,70.400000,1.200000,0.700000,0.900000,39.500000,1,0.600000,0.600000,1.500000,7.600000,,1.800000,7,3.600000,4.900000,0,3.300000,0.800000,2.700000,0.800000,2.300000,29.800000,0.200000,1,0.700000,19.400000,0,7
2019/01/01 04:00:00+00,,9.600000,4.700000,36,78.600000,4,2.600000,0.200000,175.900000,248,,0.400000,29.700000,38.600000,2.200000,0.700000,0.800000,31.900000,1,0.700000,0.400000,0.900000,7.900000,,2.400000,11.500000,3.400000,3.700000,0,2.800000,0,1,1.200000,2.800000,31.800000,0.300000,0.800000,1,16.200000,0,8
2019/01/01 05:00:00+00,,15.700000,1.100000,31.900000,61.100000,3.300000,8.500000,0.100000,141.800000,237.200000,,0.400000,39,46.400000,0.500000,1,0.400000,25.800000,1.100000,1,0.700000,0.900000,5.500000,,2.900000,6.500000,2.800000,3.400000,0,3,0.100000,0,0.600000,2.500000,26.200000,0.100000,0.300000,0.600000,14.300000,0,9
