,PA01H:NOX,SOULT:NOX,PA07:NOX,PA12:NOX,PA13:NOX,PA18:NOX,GEN:NOX,DEF:NOX,NEUIL:NOX,AUB:NOX,BAGN:NOX,BOB:NOX,STDEN:NOX,TREMB:NOX,VILLEM:NOX,CHAMP:NOX,VITRY:NOX,LOGNES:NOX,MANT:NOX,VERS:NOX,EVRY:NOX,MONTG:NOX,ARG:NOX,GON:NOX,RUR-SE:NOX,RUR-SO:NOX,CELES:NOX,BONAP:NOX,ELYS:NOX,OPERA:NOX,HAUS:NOX,BASCH:NOX,AUT:NOX,BP_EST:NOX,A1:NOX,RN2:NOX,RN6:NOX,EIFF3:NOX,RN20:NOX,PA04C:NOX,OBJECTID
,PARIS 1er Les Halles,Boulevard Soult,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,GENNEVILLIERS,LA DEFENSE,NEUILLY-SUR-SEINE,AUBERVILLIERS,BAGNOLET,BOBIGNY,SAINT-DENIS,TREMBLAY-EN-FRANCE,VILLEMOMBLE,CHAMPIGNY-SUR-MARNE,VITRY-SUR-SEINE,LOGNES,MANTES-LA-JOLIE,VERSAILLES,EVRY,MONTGERON,ARGENTEUIL,GONESSE,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,Quai des Célestins,Rue Bonaparte,Avenue des Champs Elysées,Place de l'Opéra,Boulevard Haussmann,Place Victor Basch,Boulevard Péripherique Auteuil,Boulevard Périphérique Est,Autoroute A1 - Saint-Denis,Route nationale 2 - PANTIN,Route Nationale 6 - MELUN,Tour Eiffel 3ème étage,RN20 Montlhéry,Paris Centre,0
,PA01H,SOULT,PA07,PA12,PA13,PA18,GEN,DEF,NEUIL,AUB,BAGN,BOB,STDEN,TREMB,VILLEM,CHAMP,VITRY,LOGNES,MANT,VERS,EVRY,MONTG,ARG,GON,RUR-SE,RUR-SO,CELES,BONAP,ELYS,OPERA,HAUS,BASCH,AUT,BP_EST,A1,RN2,RN6,EIFF3,RN20,PA04C,1
,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,oxydes d azote,2
,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,NOX,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/01/01 01:00:00+00,,42,47.700000,37.600000,19.400000,41.700000,28.900000,19.600000,45.300000,21.600000,,12.300000,19.400000,29.700000,17.600000,25.600000,20.700000,25,23.600000,9.600000,22.600000,15.700000,21.900000,14.600000,12.500000,10.300000,134.200000,189.500000,62.700000,240.400000,88.200000,,443.800000,37.800000,280.500000,58.800000,80.100000,10.500000,175.700000,46.600000,5
2019/01/01 02:00:00+00,,44.200000,33.600000,39.600000,18.300000,43.300000,18.300000,15.400000,35.900000,24.600000,,16,22.100000,28.100000,21.500000,34.300000,21.900000,19.200000,26.200000,7.300000,17.500000,18,21.400000,8.900000,9.900000,9.200000,162.100000,132.100000,160.200000,146.800000,81.200000,,357.900000,34.900000,246.300000,65,52.200000,7.300000,146.400000,37.500000,6
2019/01/01 03:00:00+00,,46,30.700000,44.100000,22.800000,41,25.300000,17.600000,45,23,,20.900000,26.900000,26.500000,27.500000,34.500000,25.400000,21.600000,37,8.300000,18.300000,19.100000,24,12.900000,9.700000,10.200000,177.800000,203.700000,112.900000,126.500000,101.400000,,387.400000,40.700000,439.500000,74.200000,49.900000,9.400000,168.600000,29.100000,7
2019/01/01 04:00:00+00,,36.200000,31.400000,33.900000,19.300000,33.700000,26.100000,21,61.500000,20.700000,,24.300000,33.700000,38,37.700000,42.500000,27,20.200000,38.300000,15.900000,22.100000,24.800000,29.200000,15.900000,6.800000,5.700000,112.200000,81.400000,95.200000,107.900000,106.300000,,377.600000,29.400000,493.300000,61.400000,33.500000,7.800000,176.600000,33.300000,8
2019/01/01 05:00:00+00,,20.600000,27.200000,30.600000,13.600000,31.900000,25.800000,18.300000,51.900000,22.800000,,15.800000,28.700000,35.200000,21.400000,25.800000,19.200000,17.400000,29.900000,17.200000,28,28.400000,49,22,5.400000,2.800000,128.400000,97,81.400000,99.500000,93.600000,,316.200000,21.100000,477.200000,63.900000,44.500000,6.900000,138.300000,27.600000,9
