,PA01H:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RAMBO:PM25,AUT:PM25,RUR_S:PM25,BOB:PM25,GEN:PM25,VITRY:PM25,A1:PM25,PA04C:PM25,BP_EST:PM25,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Rambouillet,Boulevard Péripherique Auteuil,Zone Rurale Sud - Bois Herpin,BOBIGNY,GENNEVILLIERS,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Paris Centre,Boulevard Périphérique Est,0
,PA01H,RN6,RUR_N,RUR-SE,GON,RAMBO,AUT,RUR_S,BOB,GEN,VITRY,A1,PA04C,BP_EST,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/01/01 01:00:00+00,,29.600000,6.500000,12.100000,7.900000,9.900000,23.200000,3.300000,10.400000,15.800000,9.200000,25.100000,14.200000,8.500000,5
2019/01/01 02:00:00+00,,21,4.900000,9,8.800000,6.700000,18.100000,4.100000,7.900000,16.100000,10.300000,14.700000,12.600000,8,6
2019/01/01 03:00:00+00,,14.700000,9.200000,9,11,12.100000,20.400000,4,17.700000,10.800000,12.900000,21.900000,9.500000,5.200000,7
2019/01/01 04:00:00+00,,9.300000,7.600000,6.800000,10.100000,11.900000,18.700000,3.900000,15.500000,13.800000,12.500000,24.500000,13.500000,7.500000,8
2019/01/01 05:00:00+00,,5.300000,6.300000,5.100000,14.800000,18.300000,16.700000,4.300000,6.200000,12.700000,6.900000,20.100000,12.900000,6.100000,9
2019/01/01 06:00:00+00,,7.600000,9.300000,4.100000,12.600000,16.800000,16.900000,7.500000,9.300000,12.200000,6.100000,19.800000,12,8.400000,10
2019/01/01 07:00:00+00,,11.300000,7.300000,7.100000,12.500000,13.800000,14.700000,9.600000,9.600000,13.900000,10.400000,14.800000,12.100000,9.500000,11
2019/01/01 08:00:00+00,,8.300000,4.300000,11,10.200000,9.800000,12.900000,7.400000,10.100000,13.900000,11.800000,23.500000,12,7.500000,12
